Commune;Bourgmestre;;Parti
Aartselaar;Sophie De Wit;;N-VA
Anvers;Bart De Wever;;N-VA
Arendonk;Kristof Hendrickx;;N-VA
Baerle-Duc;Leo Van Tilburg;;CD&V (CDK)
Balen;Johan Leysen;;CD&V
Beerse;Marc Smans;;N-VA
Berlaar;Walter Horemans;;CD&V (CD&V / N-VA)
Boechout;Koen T'Sijen;;sp.a (PROboechout&vremde)
Bonheiden;Guido Vaganée;;N-VA
Boom;Jeroen Baert;;N-VA
Bornem;Luc De Boeck;;CD&V
Borsbeek;Dis Van Berckelaer;;BbA
Brasschaat;Jan Jambon;;N-VA
Brecht;Luc Aerts;;CD&V (CD&V-CDB)
Dessel;Kris Van Dijck;;N-VA
Duffel;Marc Van der Linden;;N-VA
Edegem;Koen Metsu;;N-VA
Essen;Gaston Van Tichelt;;CD&V
Geel;Vera Celis;;N-VA
Grobbendonk;Herman Cambré;;sp.a
;à partir de 2016:Eric Van Meensel(N-VA);;
Heist-op-den-Berg;Luc Vleugels;;CD&V
Hemiksem;Luc Bouckaert;;CD&V
Herentals;Jan Peeters;;sp.a
Herenthout;Roger Gabriëls;;GEMEENTEBELANGEN
Herselt;Luc Peetermans;;CD&V
Hoogstraten;Tinne Rombouts;;CD&V
Hove;Koen Volckaerts;;N-VA
Hulshout;Geert Daems;;CD&V
Kalmthout;Lukas Jacobs;;CD&V
Kapellen;Dirk Van Mechelen;;Open Vld
Kasterlee;Ward Kennes;;CD&V
Kontich;Erik Jacobs;;N-VA
Laakdal;Kristin Gielis;;CD&V (CD&V-LVA)
Lier;Frank Boogaerts;;N-VA
Lille;Paul Diels;;CD&V
Lint;Stanny Tuyteleers;;N-VA
Malle;Harry Hendrickx;;DBM
Malines;Bart Somers;;Open Vld (vld-groen-m+)
Meerhout;Jos Engelen;;CD&V (CD)
Merksplas;Frank Wilrycx;;Leefbaar Merksplas
Mol;Paul Rotthier;;CD&V
Mortsel;Erik Broeckx;;N-VA
Niel;Tom De Vries;;Open Vld
Nijlen;Paul Verbeeck;;CD&V
Olen;Marcel Bellens;;CD&V
Putte;Chris De Veuster;;CD&V
Puurs;Koen Van den Heuvel;;CD&V
Ranst;Lode Hofmans;;Open Vld
Ravels;Walter Luyten;;CD&V
Retie;Patrick Geuens;;NIEUW RETIE
Rijkevorsel;Dorien Cuylaerts;;N-VA
Rumst;Wendy Weckhuysen;;CD&V
Schelle;Rob Mennes;;CD&V
Schilde;Dirk Bauwens;;N-VA
Schoten;Maarten De Veuster;;N-VA
Saint-Amand;Peter Van Hoeymissen;;CD&V
Stabroek;Rik Frans;;N-VA
Turnhout;Erwin Brentjens;;N-VA
Vieux-Turnhout;Leo Nys;;CD&V
Vorselaar;Lieven Janssens;;ACTIEV
Vosselaar;Josee Heykants-Jansens;;CD&V
Wavre-Sainte-Catherine;Kristof Sels;;N-VA
Westerlo;Guy Van Hirtum;;CD&V
Wijnegem;Ivo Wynants;;N-VA
Willebroek;Eddy Bevers;;N-VA
Wommelgem;Frank Gys;;N-VA
Wuustwezel;Dieter Wouters;;CD&V
Zandhoven;Luc Van Hove;;CD&V
Zoersel;Liesbeth Verstreken;;N-VA
Zwijndrecht;André Van de Vijver;;Groen
