Commune;Bourgmestre;;Parti
Aarschot;André Peeters;;CD&V
Affligem;Walter De Donder;;CD&V (LIJST BURGEMEESTER)
Asse;Koenraad Van Elsen;;CD&V
Beersel;Hugo Vandaele;;CD&V
Begijnendijk;Willy Michiels;;Open Vld (MGB)
Bekkevoort;Hans Vandenberg;;CD&V
Bertem;Albert Mees;;Open Vld (GEMBEL - OPEN VLD)
Bever;Luc Deneyer;;CD&V
Bierbeek;Johan Vanhulst;;CD&V
Boortmeerbeek;Michel Baert;;Open Vld
Boutersem;Sarah Boon;;sp.a
Crainhem;Véronique Caprasse;;UNION
Diest;Jan Laurys;;CD&V (DDS)
Dilbeek;Willy Segers;;N-VA
Drogenbos;Alexis Calmeyn;;DROGENBOS PLUS-LB
Gammerages;Pierre Deneyer;;CD&V
Geetbets;Jo Roggen;;Open Vld
Glabbeek;Jos Vicca;;sp.a
Gooik;Michel Doomst;;CD&V
Grimbergen;Marleen Mertens;;CD&V
Haacht;Mon Fillet;;Open Vld
Hal;Dirk Pieters;;CD&V
Herent;Marleen Schouteden;;N-VA
Hérinnes;Kris Poelaert;;CD&V
Hoegaarden;Jean-Pierre Taverniers;;CD&V
Hoeilaart;Tim Vandenput;;Open Vld
Holsbeek;Hans Eyssen;;CD&V
Huldenberg;Georges Vanderlinden;;Open Vld
Kampenhout;Kris Leaerts;;CD&V
Kapelle-op-den-Bos;Edward De Wit;;CD&V
Keerbergen;Dominique Vansevenant;;N-VA
Kortenaken;André Alles;;Open Vld (Open Vld - GBL)
Kortenberg;Chris Taes;;CD&V
Landen;Gino Debroux;;sp.a
Léau;Jos Ceyssens;;CD&V
Lennik;Irina De Knop;;Open Vld (LIJST BURGEMEESTER)
Louvain;Louis Tobback;;sp.a
Liedekerke;Luc Wynant;;CD&V
Linkebeek;Valérie Geeurickx;;LB
Linter;Marc Wijnants;;CD&V
Londerzeel;Jozef De Borger;;CD&V
Lubbeek;Theo Francken;;N-VA
Machelen;Jean-Pierre De Groef;;sp.a (sp.a-spirit-groen)
Meise;Jos Emmerechts;;CD&V
Merchtem;Eddie De Block;;Open Vld (Lijst Burgemeester)
Opwijk;Albert Beerens;;Open Vld
Oud-Heverlee;Adri Daniëls;;CD&V
Overijse;Dirk Brankaer;;OV2002 (OV2002-N-VA-CD&V)
;À partir du 1er juillet 2017 : Inge Lenseclaes;;
Pepingen;Eddy Timmermans;;Open Vld (LVB-LIJSTvdBURGER)
Rhode-Saint-Genèse;Pierre Rolin;;IC-GB
Roosdaal;Christine Hemerijckx;;CD&V
Rotselaar;Dirk Claes;;CD&V
Scherpenheuvel-Zichem;Manu Claes;;CD&V
Sint-Pieters-Leeuw;Luc Deconinck;;N-VA
Steenokkerzeel;Kurt Ryon;;N-VA
Ternat;Ronald Parys;;Open Vld (LVB)
Tervuren;Jan Spooren;;N-VA
Tielt-Winge;Rudi Beeken;;Open Vld
Tirlemont;Marcel Logist;;sp.a
Tremelo;Paul Dams;;Open Vld
Vilvoorde;Hans Bonte;;sp.a (sp.a-Groen)
Wemmel;Christian Andries;;L.B.
Wezembeek-Oppem;Frédéric Petit;;LB-UNION
Zaventem;Francis Vermeiren;;Open Vld
;à partir de 2016: Lieve Wierinck;;
Zemst;Bart Coopman;;CD&V
