Commune;Bourgmestre;Parti ou liste
Beauvechain;Marc Deconinck;Entente Communale (EC)
Braine-l'Alleud;Vincent Scourneau;LB (MR)
Braine-le-Château;Alain Fauconnier3;Rassemblement Brainois (RB)
Chastre;Claude Jossart;Intérêts Citoyens Réunis (ICR) (MR)
Chaumont-Gistoux;Luc Decorte;Avenir et Renouveau Communal 2012 (ARC 2012) (MR)
Court-Saint-Étienne;Michaël Goblet d'Alviella;Liste Maïeur (MR)
Genappe;Gerard Couronné;MR-Intérêts communaux
Grez-Doiceau;Sybille de Coster-Bauchau3;Alliance Communale (AC) (MR)
Hélécine;Rudi Cloots;Union Communale (UC) (cdH)
Incourt;Léon Walry;Ensemble Pour Incourt (EPI) (PS )
Ittre;Ferdinand Jolly3;IC (cdH)
Jodoigne;Jean-Paul Wahl;Union Communale (UC) (MR)
La Hulpe;Christophe Dister;LB (MR)
Lasne;Laurence Rotthier3;MR-IC
Mont-Saint-Guibert;Philippe Evrard3;Ecolo
Nivelles;Pierre Huart;LB (MR)
Orp-Jauche;Hugues Ghenne;Union Politique (UP)
Ottignies-Louvain-la-Neuve;Jean-Luc Roland;Ecolo
Perwez;André Antoine3;Dialogue et Renouveau Communal PluS (DRC PluS) (cdH)
Ramillies;Danny Degrauwe;IC (PS)
Rebecq;Dimitri Legasse;ac (PS)
Rixensart;Jean Vanderbecken;Nouvelle Alliance Pluraliste (NAP)-MR
Tubize;Michel Januth3;PS
Villers-la-Ville;Emmanuel Burton;MR
Walhain;Laurence Smets;WAL1 (PS)
Waterloo;Florence Reuter;MR
Wavre;Charles Michel;LB (MR)
