Commune;Bourgmestre;Parti;depuis
Anderlecht;Éric Tomas;Liste PS-SP.A-CDH (PS);2012
Auderghem;Didier Gosuin (empêché);Liste du Bourgmestre (DéFI);1995
;Christophe Magdalijns (faisant fonction);;2014
Berchem-Sainte-Agathe;Joël Riguelle;Liste du Bourgmestre Riguelle (cdH);2003
Ville de Bruxelles;Philippe Close;PS-SP.A (PS);2017
Etterbeek;Vincent De Wolf;Liste du Bourgmestre (MR);1992
Evere;Rudi Vervoort (empêché);LB Rudi Vervoort (PS);1998
;Pierre Muylle1 (faisant fonction);;2013
Forest;Marc-Jean Ghyssels;PS;2012
Ganshoren;Robert Genard;MR;20172
Ixelles;Dominique Dufourny;MR;2016
Jette;Hervé Doyen;Liste du Bourgmestre de Jette (cdH);2001
Koekelberg;Philippe Pivin;Liste du Bourgmestre (MR);2001
Molenbeek-Saint-Jean;Françoise Schepmans;MR;2012
Saint-Gilles;Charles Picqué;Liste du Bourgmestre (PS);1985
Saint-Josse-ten-Noode;Emir Kir;Liste du Bourgmestre (PS);2012
Schaerbeek;Bernard Clerfayt;Liste du Bourgmestre (DéFI);2001
Uccle;Boris Dilliès;MR;2017
Watermael-Boitsfort;Olivier Deleuze;Ecolo-Groen (Ecolo);2012
Woluwe-Saint-Lambert;Olivier Maingain;Liste du Bourgmestre (DéFI);2006
Woluwe-Saint-Pierre;Benoît Cerexhe;Liste du Bourgmestre3 (CDH);2013
