Commune;Bourgmestre;;Parti
Aalter;Patrick Hoste ff. pour Pieter De Crem;;CD&V (CD&V / N-VA)
Alost;Christoph D'Haese;;N-VA
Assenede;Philippe De Coninck;;Open Vld (SamenPlus)
Audenarde;Marnic De Meulemeester;;Open Vld
Berlare;Katja Gabriëls;;Open Vld
Beveren;Marc Van De Vijver;;CD&V (CD&V Beveren)
Brakel;Alexander De Croo;;Open Vld
Buggenhout;Tom Van Herreweghe;;NCD
De Pinte;Hilde Claeys;;Ruimte
Deinze;Jan Vermeulen;;CD&V
Denderleeuw;Jan De Dier;;N-VA (N-VA / CD&V)
Dendermonde;Pieter Buyse;;CD&V
Destelbergen;Marc De Pauw;;Open Vld
Eeklo;Koen Loete;;CD&V (CD&V+)
Erpe-Mere;Hugo De Waele;;CD&V
Evergem;Joeri De Maertelare;;N-VA
Gavere;Hugo Leroy;;Open Vld (Open Vld - VOG)
Gand;Daniël Termont;;sp.a (sp.a-Groen)
Grammont;Guido De Padt;;Open Vld
Haaltert;Veerle Baeyens;;N-VA
Hamme;Herman Vijt;;CD&V (CD&V HammeMoerzeke)
Herzele;Johan Van Tittelboom;;Open Vld
Horebeke;Joseph Browaeys;;Open Vld (VOLKSBELANGEN)
Kaprijke;Filip Gijssels;;SAMEN
Kluisbergen;Philippe Willequet;;GEMEENTEBELANGEN
Knesselare;Fredy Tanghe;;GROEP9910
Kruibeke;Jos Stassen;;Groen (SamenVoorKruibeke)
Kruishoutem;Joop Verzele;;CD&V
Laarne;Ignace De Baerdemaeker;;Open Vld
Laethem-Saint-Martin;Agnes Lannoo-Van Wanseele;;WELZIJN
Lebbeke;François Saeys;;Open Vld
Lede;Roland Uyttendaele;;CD&V
Lierde;Jurgen Soetens;;CD&V (CD&V-LIERDE)
Lochristi;Yves Deswaene;;Open Vld
Lokeren;Filip Anthuenis;;Open Vld
Lovendegem;Christiaan De Wispelaere;;CD&V
Maarkedal;Anny Vande Catsyne;;Open Vld (Maarkedal Leeft)
Maldegem;Marleen Van den Bussche;;CD&V
Melle;Dirk De Maeseneer;;CD&V (CD&V / N-VA)
Merelbeke;Filip Thienpont;;CD&V
Moerbeke;Robby De Caluwé;;Open Vld
Nazareth;Danny Claeys;;CD&V
Nevele;Johan Cornelis;;CD&V
Ninove;Michel Casteur;;Open Vld
Oosterzele;Johan Van Durme;;CD&V (CD&V / N-VA)
Renaix;Luc Dupont;;CD&V (CD&V GROEN)
Saint-Gilles-Waes;Remi Audenaert;;CD&V
Saint-Nicolas;Lieven Dehandschutter;;N-VA
Saint-Laurent;Franki Van de Moere;;Samen
Hautem-Saint-Liévin;Lieven Latoir;;NIEUW HOUTEM
Stekene;Stany De Rechter;;Gemeentebelangen
Tamise;Luc De Ryck;;CD&V
Waarschoot;Ann Coopman;;CD&V
Waasmunster;Michel Du Tré;;CD&V
Wachtebeke;Rudy Van Cronenburg;;ANDERS
Wetteren;Alain Pardaen;;CD&V
Wichelen;Kenneth Taylor;;SAMEN
Wortegem-Petegem;Luc Vander Meeren;;Open Vld
Zele;Patrick Poppe;;Open Vld
Zelzate;Frank Bruggeman;;Open Vld (VLD-SD)
Zingem;Kathleen Hutsebaut;;CD&V (SAMEN)
Zomergem;Tony Vermeire;;CD&V
Zottegem;Jenne De Potter;;CD&V
Zulte;Simon Lagrange;;Open Vld (Open Zulte)
Zwalm;Karen De Colfmacker;;Open Vld
