Commune;Bourgmestre;Parti ou liste
Aiseau-Presles;Jean Fersini;PS
Anderlues;Philippe Tison;PS
Antoing;Bernard Bauwens;PS
Ath;Marc Duvivier3;PS
Beaumont;Charles Dupuis;Intérêts Communaux Indépendants (ICI) cdH
Belœil;Luc Vansaingele3;PS
Bernissart;Roger Vanderstraeten;PS
Binche;Laurent Devin;PS
Boussu;Jean-Claude Debiève;PS
Braine-le-Comte;Maxime Daye;Braine MR
Brugelette;André Desmarlières;PS
Brunehaut;Pierre Wacquier;PS
Celles;Véronique Durenne3;MR
Chapelle-lez-Herlaimont;Karl De Vos3;PS
Charleroi;Paul Magnette3;PS
Châtelet;Daniel Vanderlick;PS
Chièvres;Bruno Lefebvre3;PS
Chimay;Françoise Fassiaux-Looten3;Bouge + PS
Colfontaine;Luciano d'Antonio;PS
Comines-Warneton;Gilbert Deleu;Action cdH
Courcelles;Caroline Taquin3;MR
Dour;Carlo Di Antonio3;Dour Renouveau Plus (DR Plus) cdH
Écaussinnes;Xavier Dupont3;PS
Ellezelles;Ides Cauchie;cdH
Enghien;Olivier Saint Amand3;Ecolo
Erquelinnes;David Lavaux;IC cdH
Estaimpuis;Daniel Senesael;PS
Estinnes;Aurore Tourneur;Entente pour un Mouvement Citoyen (EMC) cdH
Farciennes;Hugues Bayet;PS
Fleurus;Jean-Luc Borremans;PS
Flobecq;Philippe Mettens;PS
Fontaine-l'Évêque;Noël Van Kerckhoven3;PS
Frameries;Jean-Marc Dupont;PS
Frasnes-lez-Anvaing;Jean-Luc Crucke;MR
Froidchapelle;Willy Decuir;Entente Communale (EC) MR
Gerpinnes;Philippe Busine;cdH
Ham-sur-Heure-Nalinnes;Yves Binon;MR
Hensies;Éric Thiébaut;PS
Honnelles;Bernard Paget;PS
Jurbise;Jacqueline Galant;LB MR
La Louvière;Jacques Gobert;PS
Le Rœulx;Benoît Friart;IC MR
Lens;Isabelle Galant3;MR
Les Bons Villers;Emmanuel Wart;MR-IC
Lessines;Pascal De Handschutter3;PS
Leuze-en-Hainaut;Christian Brotcorne3;Idées cdH
Lobbes;Marcel Basile;cdH
Manage;Pascal Hoyaux;PS
Merbes-le-Château;Philippe Lejeune;PS
Momignies;Albert Depret;MR-PS
Mons;Elio Di Rupo3;PS
Mont-de-l'Enclus;Jean-Pierre Bourdeaud'huy;MR
Montigny-le-Tilleul;Marie-Hélène Knoops;MR
Morlanwelz;Christian Moureau3;PS
Mouscron;Alfred Gadenne;cdH
Pecq;Marc D'haene;Groupe d'Ouverture (GO) cdH
Péruwelz;Daniel Westrade;PS
Pont-à-Celles;Christian Dupont;PS
Quaregnon;Jean-Pierre Lepine3;PS
Quévy;Florence Lecompte;PS
Quiévrain;Véronique Damée3;Changer MR
Rumes;Michel Casterman;IC cdH
Saint-Ghislain;Daniel Olivier;PS
Seneffe;Bénédicte Poll3;MR-IC
Silly;Christian Leclercq;LB MR
Sivry-Rance;Jean-François Gatelier;Mouvement d'Intérêts Locaux (MIL) cdH
Soignies;Marc de Saint Moulin;PS
Thuin;Paul Furlan3;PS
Tournai;Rudy Demotte3;PS
