Commune;Bourgmestre;Parti ou liste
Amay;Jean-Michel Javaux;Ecolo
Amel;Klaus Schumacher;Gemeinde Interessen (GI)
Ans;Grégory Philippin;PS
Anthisnes;Marc Tarabella;PS-IC
Aubel;Jean-Claude Meurens;Aubel Demain MR
Awans;André Vrancken;PS
Aywaille;Philippe Dodrimont;Ensemble MR
Baelen;Maurice Fyon;Alliance Communale Baelen Membach (ACBM) PS
Bassenge;Josly Piette;cdH
Berloz;Joseph Dedry3;IC
Beyne-Heusay;Serge Cappa;PS
Blegny;Marc Bolland;PS
Braives;Pol Guillaume;Entente Communale (EC) MR
Bullange;Friedhelm Wirtz;Liste Wirtz
Burdinne;Luc Gustin;IC MR
Burg-Reuland;Joseph Maraite;Gemeinde Interessen (GI) cdH
Butgenbach;Emil Dannemark;Freie BürgerListe (FBL) (MR
Chaudfontaine;Daniel Bacquelaine;MR-IC
Clavier;Philippe Dubois;IC MR
Comblain-au-Pont;Jean-Christophe Henon;IC-PS-cdH
Crisnée;Philippe Goffin;Liste Maïeur MR
Dalhem;Arnaud Dewez3;MR
Dison;Yvan Ylieff;PS
Donceel;Jean-Luc Boxus3;IC
Engis;Serge Manzato;PS
Esneux;Laura Iker;MR
Eupen;Karl-Heinz Klinkenberg3;(PFF-MR)
Faimes;Marie-Alice Corswarem-Vandereyken;Équipe de Faimes (EDF) MR
Ferrières;Frédéric Léonard3;Rassemblement pour Ferrières (RpF) PS
Fexhe-le-Haut-Clocher;Henri Christophe;Liste Mayeur MR
Flémalle;Isabelle Simonis;Parti socialiste
Fléron;Roger Lespagnard;IC cdH
Geer;Michel Dombret3;Intérêts communaux MR
Grâce-Hollogne;Maurice Mottard;PS
Hamoir;Patrick Lecerf;IC MR
Hannut;Hervé Jamar;MR
Héron;Éric Hautphenne;PS
Herstal;Frédéric Daerden;PS
Herve;Pierre-Yves Jeholet3;Herve DeMain (HDM) MR
Huy;Alexis Housiaux;PS
Jalhay;Michel Fransolet3;MR-IC-Entente Jalhay Sart (EJS) (MR)
Juprelle;Christine Servaes;IC cdH
La Calamine;Ludwig Goebbels3;PFF-MR
Liège;Willy Demeyer;PS
Lierneux;Louis Gaiotti3;Ré-Agissons cdH
Limbourg;Valérie Fautre-Dejardin3;PS
Lincent;Yves Kinnard3;MR-cdH-Ecolo MR
Lontzen;Alfred Lecerf;Union cdH
Malmedy;Jean-Paul Bastin3;Alternative cdH
Marchin;Éric Lomba;PS
Modave;Jeanne Defays-Damoiseau3;OSE cdH
Nandrin;Michel Lemmens3;Expressions Communes (Exp. Communes) PS
Neupré;Arthur Cortis;PS
Olne;Ghislain Senden;Rassemblement Autour du Bourgmestre (RAB) cdH
Oreye;Isabelle Albert;PS
Ouffet;Caroline Cassart-Mailleux3;Entente Communale (EC) MR
Oupeye;Mauro Lenzini;PS
Pepinster;Philippe Godin;Pepin
Plombières;Thierry Wimmer;Union pour le Renouveau à Plombières (URP)
Raeren;Hans-Dieter Laschet;Mit Uns MR
Remicourt;Thierry Missaire;E.C. MR
Saint-Georges-sur-Meuse;Francis Dejon;Ensemble cdH
Saint-Nicolas;Jacques Heleven;PS
Saint-Vith;Christian Krings;Krings-Freie BürgerListe (FBL) cdH
Seraing;Alain Mathot;PS
Soumagne;Charles Janssens;PS
Spa;Joseph Houssa;MR
Sprimont;Claude Ancion;Bourgmestre MR
Stavelot;Thierry De Bournonville;MR-LB
Stoumont;Didier Gilkinet;Vivrensemble PS
Theux;Philippe Boury;Intérêts Franchimontois Réunis (IFR) MR
Thimister-Clermont;Didier D'oultremont;Entente des Intérêts Communaux (EIC) cdH
Tinlot;Cécile Louviaux-Thomas;Tinlot Participation (TP) cdH
Trois-Ponts;Francis Bairin3;Défi MR
Trooz;Fabien Beltran3;PS
Verlaine;Hubert Jonet;IC MR
Verviers;Marc Elsen3;cdH
Villers-le-Bouillet;Charles Wery3;Ensemble
Visé;Marcel Neven;MR
Waimes;David Stoffels3;Waimes Demain
Wanze;Claude Parmentier;PS
Waremme;Jacques Chabot3;PS
Wasseiges;Joseph Haquin;Union Communale (UC) MR
Welkenraedt;Jean-Luc Nix3;MR-IC
