Commune;Bourgmestre;;Parti
Alken;Marc Penxten;;N-VA
As;Miel Craeghs;;Voluit!
Beringen;Maurice Webers;;sp.a
Bilzen;Frieda Brepoels;;N-VA
Bocholt;Jos Claessens-7/2015:Stijn Van Baelen;;Nieuwe Unie
Looz;Danny Deneuker;;sp.a
Bourg Léopold;Wouter Beke;;CD&V
Brée;Liesbeth Van der Auwera;;CD&V
Diepenbeek;Patrick Hermans;;PUUR - DIEPENBEEK
Dilsen-Stokkem;Lydia Peeters;;Open Vld
Fourons;Huub Broers;;N-VA (Voerbelangen)
Genk;Wim Dries;;CD&V
Gingelom;Charly Moyaerts;;sp.a (sp.a - goesting)
Halen;Erik Van Roelen;;CD&V
Ham;Dirk De Vis;;CD&V
Hamont-Achel;Theo Schuurmans;;CD&V
Hasselt;Hilde Claes;;sp.a (HELEMAAL HASSELT)
Hechtel-Eksel;Jan Dalemans;;HE
Heers;Kristof Pirard;;Open Vld
;àpd 2015:Henri Dumont;;2015:sp.a
Herck-la-Ville;Bart Gruyters;;CD&V
Herstappe;Serge Louwet;;GB-IC
Heusden-Zolder;Mario Borremans;;N-VA
Hoeselt;Guy Thys-2015:Werner Raskin;;N-VA/OpenVLD
Houthalen-Helchteren;Alain Yzermans;;sp.a (sp.a-Groen-Plus)
Kinrooi;Jo Brouns;;CD&V
Kortessem;Tom Thijssen;;CD&V
Lanaken;Marino Keulen;;Open Vld (Open Vld - Lanaken)
Lommel;Peter Vanvelthoven;;sp.a (Lijst Burgemeester)
Lummen;Luc Wouters;;CD&V
Maaseik;Jan Creemers;;CD&V
Maasmechelen;Raf Terwingen;;CD&V
Meeuwen-Gruitrode;Lode Ceyssens;;CD&V
Nieuwerkerken;Benny Bamps;;CD&V
Neerpelt;Raf Drieskens;;CD&V
Opglabbeek;Benny Spreeuwers;;CD&V
Overpelt;Jaak Fransen;;CD&V
Peer;Steven Matheï;;CD&V
Riemst;Mark Vos;;CD&V
Saint-Trond;Veerle Heeren;;CD&V
Tessenderlo;Tom Verwimp;;sp.a
Tongres;Patrick Dewael;;Open Vld (Tongeren.nu)
Wellen;Els Robeyns;;sp.a (sp.a-ROB)
Zonhoven;Johny De Raeve;;Open Vld
Zutendaal;Jef Bobbaers;;Nieuw ZVP
