Commune;Bourgmestre;Parti ou liste
Andenne;Claude Eerdekens;PS
Anhée;Luc Piette;IC (cdH)
Assesse;Pierre Tasiaux3;ACOR (cdH)
;remplacé par Dany Weverbergh en décembre 2017 4;
Beauraing;Marc Lejeune3;Énergies (cdH)
Bièvre;David Clarinval;Ensemble Pour Vous (EPV) (MR)
Cerfontaine;Christophe Bombled;MR-IC
Ciney;Jean-Marie Cheffert3;Union (MR)
Couvin;Raymond Douniaux;PS
Dinant;Richard Fournaux;LdB (MR)
Doische;Pascal Jacquiez3;MR
Éghezée;Dominique Van Roy;Ensemble Pour Vous (EPV) (MR)
Fernelmont;Jean-Claude Nihoul;(LdB) (cdH)
Floreffe;André Bodson;Rassemblement Pour Floreffe (RPF) (cdH)
Florennes;Pierre Helson;Union des 11 Communes (U.11.C) (MR)
Fosses-la-Ville;Gaëtan De Bilderling3;Union démocratique (UD)
Gedinne;Vincent Massinon;Gedinne2012 (MR)
Gembloux;Benoît Dispa;Bailli (cdH)
Gesves;José Paulet;Gesves Encore Mieux (GEM) (MR)
Hamois;Luc Jadot;Ensemble 2012 (cdH)
Hastière;Claude Bultot;Union (PS)
Havelange;Nathalie Demoulin-Demanet3;A.E (MR)
Houyet;Yvan Petit;Action Communale (AC) (PS)
Jemeppe-sur-Sambre;Stéphanie Thoron3;MR
La Bruyère;Robert Cappe;MR
Mettet;Yves Delforge3;Intérêts Communaux Action Progrès (ICAP) (cdH)
Namur;Maxime Prévot;cdH
Ohey;Christophe Gilon3;Ensemble Changeons Ohey (EChO) (cdH)
Onhaye;Christophe Bastin;Intérêts communaux Onhaye (ICO) (cdH)
Philippeville;Jean-Marie Delpire3;MR
Profondeville;Luc Delire;IC (MR)
Rochefort;François Bellot;MR-IC
Sambreville;Jean-Charles Luperto;PS
Sombreffe;Philippe Lecomte3;(MR)
Somme-Leuze;Valérie Lecomte;Union Communale (UC) (MR)
Viroinval;Bruno Buchet;Pour (PS)
Vresse-sur-Semois;Albert Leduc;Liste Du Mayeur (LDM) (cdH)
Walcourt;Christine Poulin;PS
Yvoir;Etienne Defresne;LB 2012 (MR)
